StateID,Year,Quarter,TotalProd,TaxableBottlesCansProd,TaxableKegsProd,TaxablePremUseProd,TaxFreeExportProd,TaxFreePremUseProd,StocksOnHand
VA,2017,Q3,3846150.01,3441982.43,343425.56,33495.81,,631.77,646366.57
WA,2017,Q3,151173.56,45199.56,64752.79,29436.75,,1446.77,39664.09
WV,2017,Q3,3751.91,,1130.57,2425.76,0.0,,1319.87
WI,2017,Q3,2825877.92,2317178.68,,20357.01,24420.34,421.61,754939.04
WY,2017,Q3,16419.71,,2610.29,8852.46,0.0,337.06,3503.12
AL,2017,Q4,13178.81,,2124.47,6360.71,0.0,120.47,3855.34
AK,2017,Q4,38779.6,,14281.56,3161.22,0.0,116.38,8532.77
AZ,2017,Q4,45543.43,16470.1,15983.19,11458.15,0.0,492.09,8194.74
AR,2017,Q4,6511.34,,,3343.42,0.0,,1285.72
CA,2017,Q4,4805636.79,3799036.15,519746.69,84154.0,459023.95,3148.07,1207445.36
CO,2017,Q4,4820320.56,3979866.39,381648.78,40709.95,,2599.16,1203718.14
CT,2017,Q4,53206.83,30182.83,12360.13,6623.8,,265.1,15968.82
DE,2017,Q4,,,,2591.6,0.0,,
DC,2017,Q4,6702.04,,,2367.11,0.0,,3905.96
FL,2017,Q4,,,288070.69,33815.41,,2351.01,561029.17
GA,2017,Q4,3714365.35,3241213.95,115885.29,14769.9,,589.91,744725.95
HI,2017,Q4,20586.67,,8377.65,2542.68,,148.43,6787.13
ID,2017,Q4,8317.26,3247.72,3480.46,2555.3,,,5840.5
IL,2017,Q4,412404.56,311987.3,56568.2,26149.5,,1118.59,82906.19
IN,2017,Q4,48553.47,17753.54,15328.07,10848.69,0.0,410.86,14276.86
IA,2017,Q4,17166.03,1063.93,1777.03,12350.81,0.0,101.4,7236.14
KS,2017,Q4,9038.79,,2251.77,3144.99,0.0,,1886.46
KY,2017,Q4,34482.3,25301.21,7439.92,6582.4,,,26585.78
LA,2017,Q4,48948.84,,12161.52,5180.96,,122.34,
ME,2017,Q4,66017.97,26442.99,25992.93,9099.43,0.0,105.15,27337.09
MD,2017,Q4,57434.76,28476.11,16333.35,6025.38,,487.57,19138.71
MA,2017,Q4,123831.37,53075.9,38499.47,21301.58,,597.74,40507.58
MI,2017,Q4,346834.97,184311.79,79670.77,36456.4,,1295.92,114835.28
MN,2017,Q4,138933.46,82242.53,33372.43,15709.67,,320.81,54716.17
MS,2017,Q4,5482.86,,,2209.29,,,1580.89
MO,2017,Q4,,,,6921.16,,675.44,
MT,2017,Q4,35635.08,13667.22,10435.3,8744.88,0.0,370.83,16398.63
NE,2017,Q4,11151.3,3348.18,3358.99,4962.51,,192.36,2885.6
NV,2017,Q4,11293.16,2359.48,2530.17,4888.33,0.0,,2772.13
NH,2017,Q4,,,,8485.48,,133.95,
NJ,2017,Q4,,,,14067.52,,527.18,
NM,2017,Q4,26513.97,10472.89,8885.28,4580.39,0.0,184.63,8265.25
NY,2017,Q4,1863541.81,1568145.87,115022.18,22482.13,39304.35,778.07,656017.85
NC,2017,Q4,322018.17,225412.76,69728.35,30284.56,,274.52,122932.41
ND,2017,Q4,1669.26,0.0,,1526.99,0.0,,624.11
OH,2017,Q4,4612064.26,4178709.72,348343.28,23109.65,,968.01,848414.25
OK,2017,Q4,4616.69,0.0,,3671.96,0.0,,1313.86
OR,2017,Q4,379047.58,218729.0,301272.68,31589.3,,1430.47,113471.16
PA,2017,Q4,1178930.7,853394.86,228811.92,19002.24,29764.95,1358.32,388013.62
RI,2017,Q4,11846.91,4708.57,2402.63,2102.92,0.0,,2973.19
